Date,City,Country,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,Wind Speed
1547960400,Pisco,PE,-13.71,-76.2,71.6,83,0,9.17
1547959800,Malm,NO,64.07,11.22,24.8,92,75,13.87
1547961300,Clifton Springs,US,42.96,-77.14,21.2,100,90,5.82
1547961763,Port Alfred,ZA,-33.59,26.89,61.77,100,44,5.39
1547960400,Ushuaia,AR,-54.81,-68.31,46.4,61,40,5.82
1547959800,Luleburgaz,TR,41.4,27.36,42.8,93,75,8.05
1547961776,Rikitea,PF,-23.12,-134.97,80.22,99,92,13.56
1547961777,Arraial do Cabo,BR,-22.97,-42.02,76.53,91,48,13.56
1547961779,Carnarvon,ZA,-30.97,22.13,56.1,42,0,9.42
1547960400,Townsville,AU,-19.26,146.82,87.8,45,0,20.8
1547961782,Sjenica,RS,43.27,20.0,24.6,92,68,2.26
1547961783,Vanimo,PG,-2.67,141.3,79.5,100,24,8.19
1547960100,Brownwood,US,31.71,-98.99,33.8,55,1,6.93
1547960400,Rio Cuarto,AR,-33.13,-64.35,62.6,82,0,10.29
1547960400,Hobart,AU,-42.88,147.33,80.6,28,0,11.41
1547961789,Kruisfontein,ZA,-34.0,24.73,64.38,78,0,5.17
1547960400,Victoria,BN,5.28,115.24,87.8,79,75,11.41
1547961792,Faanui,PF,-16.48,-151.75,83.82,100,88,11.99
1547960400,Inhambane,MZ,-23.87,35.38,75.2,100,75,20.8
1547960160,Kapaa,US,22.08,-159.32,73.94,78,75,14.99
1547960400,Punta Arenas,CL,-53.16,-70.91,48.2,92,20,19.46
1547960400,Touros,BR,-5.2,-35.46,78.8,83,40,3.36
1547961798,Butaritari,KI,3.07,172.79,82.92,100,88,14.9
1547960400,Bathsheba,BB,13.22,-59.52,77.0,73,40,12.75
1547961801,Xai-Xai,MZ,-25.04,33.64,77.52,93,24,37.16
1547961802,Busselton,AU,-33.64,115.35,84.63,62,0,6.06
1547960340,Albany,US,42.65,-73.75,24.08,75,90,4.7
1547961804,Socorro,PH,13.06,121.41,76.44,91,88,9.19
1547956800,Thompson,CA,55.74,-97.86,-32.81,66,5,2.24
1547961807,Sena Madureira,BR,-9.07,-68.66,73.92,98,56,2.04
1547961809,Port Lincoln,AU,-34.72,135.86,74.1,71,24,12.77
1547961811,Tuatapere,NZ,-46.13,167.69,54.12,100,56,25.41
1547961812,Bonthe,SL,7.53,-12.5,75.72,99,0,2.93
1547961813,Chuy,UY,-33.69,-53.46,62.31,93,0,9.53
1547961814,Isangel,VU,-19.55,169.27,78.87,100,92,20.49
1547961816,Barrow,AR,-38.31,-60.23,63.3,66,0,13.33
1547961817,Sitka,US,37.17,-99.65,13.71,71,0,3.04
1547960400,Dubai,AE,25.27,55.3,68.0,49,40,13.87
1547961819,Serenje,ZM,-13.23,30.22,65.01,100,92,6.96
1547960400,Tursunzoda,UZ,38.51,68.23,33.8,100,90,8.95
1547960400,Mahebourg,MU,-20.41,57.7,84.2,74,20,14.99
1547960160,Broome,GB,52.47,1.45,26.6,100,0,2.24
1547961420,New Waterford,US,40.85,-80.61,35.06,87,90,18.34
1547961827,Hithadhoo,MV,-0.6,73.08,79.41,100,88,7.74
1547961828,Chokurdakh,RU,70.62,147.9,-42.45,0,24,2.48
1547961829,Uttarkashi,IN,30.73,78.44,47.91,73,56,1.92
1547961545,Mar del Plata,AR,-46.43,-67.52,71.04,37,0,18.48
1547960400,Nikolskoye,RU,59.7,30.79,24.8,85,40,11.18
1547961833,Jamestown,AU,-33.21,138.6,77.34,82,0,5.39
1547961632,Hermanus,ZA,-34.42,19.24,56.28,74,24,3.83
1547959980,Scottsbluff,US,41.87,-103.67,39.02,69,1,8.05
1547961836,Sao Jose da Coroa Grande,BR,-8.9,-35.15,75.18,100,92,3.27
1547961838,Cherskiy,RU,68.75,161.3,-35.79,0,0,2.37
1547961839,La Rioja,AR,-29.41,-66.86,67.71,70,24,3.38
1547958600,Moncao,PT,42.08,-8.48,44.6,93,75,3.71
1547961841,Bluff,AU,-23.58,149.07,94.26,31,0,14.79
1547960400,Cape Town,ZA,-33.93,18.42,60.8,63,0,5.82
1547961844,Pevek,RU,69.7,170.27,-22.92,100,36,5.84
1547961846,Qaanaaq,GL,77.48,-69.36,-26.52,100,0,10.98
1547961847,Myra,NO,58.75,8.86,15.69,100,0,3.94
1547961848,Baoqing,CN,46.32,132.2,6.96,38,48,11.65
1547960400,East London,ZA,-33.02,27.91,62.6,63,75,4.7
1547960100,Ojinaga,US,29.56,-104.41,45.32,52,1,6.93
1547956800,Georgetown,GY,6.8,-58.16,75.2,94,20,4.7
1547961854,Narovchat,RU,53.88,43.7,17.31,83,48,11.32
1547960400,Ramshir,IR,30.89,49.41,41.0,93,0,2.24
1547961857,Gazojak,TM,41.19,61.4,30.27,92,88,13.33
1547961858,Ondjiva,AO,-17.07,15.73,66.81,100,88,1.14
1547960400,Yulara,AU,-25.24,130.99,105.8,11,68,14.99
1547961860,Uchiza,PE,-8.46,-76.46,66.36,96,20,1.92
1547961861,Lebu,ET,8.96,38.73,56.01,53,0,3.94
1547960400,Palmer,AU,-34.85,139.16,77.0,57,0,18.34
1547961300,Lompoc,US,34.64,-120.46,57.92,87,1,4.7
1547961865,Khatanga,RU,71.98,102.47,-12.21,77,64,6.96
1547956800,Praia da Vitoria,PT,38.73,-27.07,55.4,87,20,7.29
1547959320,Cabo San Lucas,MX,22.89,-109.91,66.2,55,5,9.17
1547961869,Kaduqli,SD,11.01,29.72,66.36,47,0,9.64
1547960400,Port Macquarie,AU,-31.43,152.91,80.6,69,90,10.29
1547961871,Kieta,PG,-6.22,155.63,81.84,95,80,11.32
1547961872,Pimentel,BR,-3.7,-45.5,73.38,98,80,1.92
1547961873,Luau,CD,-10.7,22.23,67.26,94,88,3.15
1547960400,Fortuna,ES,38.18,-1.13,50.0,93,75,1.12
1547960400,Bredasdorp,ZA,-34.53,20.04,60.8,63,24,5.82
1547961877,Vikulovo,RU,55.07,40.96,19.2,81,76,11.32
1547956800,Tuktoyaktuk,CA,69.44,-133.03,-5.81,76,75,8.05
1547959620,Yellowknife,CA,62.45,-114.38,-4.01,70,90,13.87
1547958600,Souillac,FR,45.6,-0.6,42.8,93,68,2.24
1547961883,Saskylakh,RU,71.97,114.09,-20.76,89,76,10.54
1547961884,Ous,RU,60.91,61.52,15.33,79,12,5.06
1547961180,Sayville,US,40.74,-73.08,35.96,100,90,11.41
1547958600,La Ciotat,FR,43.17,5.6,44.6,75,90,11.41
1547961889,Taoudenni,ML,22.68,-3.98,34.59,47,0,2.93
1547960520,Tuscaloosa,US,33.21,-87.57,39.02,64,90,16.11
1547960460,Bethel,US,60.79,-161.76,12.92,83,90,6.93
1547961895,Biak,ID,-0.91,122.88,85.44,83,20,2.59
1547961896,Sirjan,IR,29.44,55.67,31.35,53,0,4.38
1547959800,Ilulissat,GL,69.22,-51.1,1.4,70,88,10.29
1547961898,Coahuayana,MX,18.62,-100.35,59.97,75,48,2.04
1547959800,Salalah,OM,17.01,54.1,75.2,41,0,18.34
1547960400,San Matias,HN,13.97,-86.63,57.2,87,20,1.92
1547961902,Ballina,IE,54.11,-9.15,43.77,99,56,18.81
1547960400,Vaini,IN,15.34,74.49,77.0,41,0,9.17
1547961904,Talnakh,RU,69.49,88.39,0.66,71,64,12.1
1547960400,Noumea,NC,-22.28,166.46,87.8,48,0,24.16
1547961908,Bulgan,MN,48.81,103.53,28.83,24,0,11.32
1547961909,Guanay,BO,-15.5,-67.88,63.84,92,76,1.92
1547961910,Deputatskiy,RU,69.3,139.9,-62.25,0,0,2.59
1547960160,Ketchikan,US,55.34,-131.65,42.08,95,90,4.7
1547961912,Airai,TL,-8.93,125.41,76.71,86,88,2.26
1547956800,Torbay,CA,47.66,-52.73,14.0,72,20,14.99
1547956800,Wajir,KE,1.75,40.07,73.4,78,5,8.05
1547961919,Saint-Georges,CA,46.12,-70.67,0.48,62,76,5.28
1547959260,Teya,MX,21.05,-89.07,75.2,83,75,4.7
1547961922,Naze,NG,5.43,7.07,74.01,93,0,5.73
1547960160,Umm Bab,QA,25.21,50.81,55.04,66,1,11.41
1547961924,Corrales,CO,5.83,-72.84,48.63,94,88,0.25
1547961926,Savelugu,GH,9.63,-0.83,70.05,95,24,2.93
1547960400,Hohhot,CN,40.81,111.65,23.0,35,0,8.95
1547961928,Puerto Ayora,EC,-0.74,-90.35,76.8,100,92,7.85
1547960400,Vila do Maio,CV,15.13,-23.22,68.0,68,40,18.34
1547961933,Mataura,NZ,-46.19,168.86,54.21,96,100,24.07
1547961934,Haines Junction,CA,60.75,-137.51,-13.02,71,36,2.26
1547960400,Los Llanos de Aridane,ES,28.66,-17.92,62.6,67,90,10.29
1547960400,Esperance,TT,10.24,-61.45,71.6,94,20,5.17
1547959800,Vila,IT,45.18,8.4,32.0,100,0,4.7
1547961939,Paamiut,GL,61.99,-49.67,26.4,100,8,16.58
1547961940,Ribeira Grande,PT,38.52,-28.7,62.67,97,64,7.52
1547961941,Mabama,SL,8.94,-11.9,62.94,78,0,2.93
1547961942,Necochea,AR,-38.55,-58.74,59.61,79,0,13.67
1547961944,Constitucion,MX,23.99,-104.67,32.7,73,0,2.82
1547960400,Fukue,JP,35.03,136.69,44.6,93,75,4.7
1547959980,Hilo,US,19.71,-155.08,71.06,84,1,18.25
1547960400,Papara,BR,-3.98,-38.73,77.0,94,20,3.36
1547961950,Abu Kamal,SY,34.45,40.92,34.5,66,0,8.3
1547960400,Mareeba,AU,-16.99,145.42,86.0,62,40,17.22
1547960400,Dublin,IE,53.35,-6.26,41.0,93,75,5.82
1547961954,Hinton,CA,53.4,-117.57,27.39,58,0,7.29
1547960400,Abha,SA,18.22,42.5,57.2,81,0,4.7
1547961957,Quelimane,MZ,-17.88,36.89,75.54,100,92,10.54
1547961958,Tambacounda,SN,13.77,-13.67,61.41,28,0,10.98
1547959800,Nuuk,GL,64.17,-51.74,17.6,72,80,4.7
1547961961,Ahipara,NZ,-35.17,173.16,71.4,81,0,6.51
1547961910,Yenagoa,NG,4.92,6.26,74.19,94,0,5.28
1547961963,Rundu,NA,-17.91,19.77,68.43,90,32,6.96
1547960400,Cayenne,GF,4.94,-52.33,78.8,83,75,11.41
1547960400,New Norfolk,AU,-42.78,147.06,80.6,28,0,11.41
1547961968,Alta Floresta,BR,-9.87,-56.08,75.18,90,36,2.82
1547960400,Tipitapa,NI,12.2,-86.1,78.8,69,40,6.93
1547960100,Kodiak,US,39.95,-94.76,8.96,76,1,4.7
1547961971,Vostok,RU,46.45,135.83,0.66,58,44,4.16
1547961973,Atuona,PF,-9.8,-139.03,80.58,100,80,15.23
1547960400,Buin,CL,-33.73,-70.74,60.8,72,0,6.93
1547961976,Mingyue,CN,43.11,128.91,9.21,40,36,10.98
1547959800,Longyearbyen,NO,78.22,15.63,-2.21,64,20,5.82
1547960400,Fomeque,CO,4.49,-73.9,53.6,81,75,4.7
1547961980,Kavieng,PG,-2.57,150.8,79.23,100,88,9.42
1547960400,Namie,JP,37.52,140.86,48.2,45,20,2.24
1547961984,Gubkinskiy,RU,64.43,76.5,-2.04,71,0,2.93
1547961985,Jiwani,PK,25.05,61.74,71.76,70,0,8.75
1547961986,Atambua,ID,-9.11,124.89,80.31,100,68,8.08
1547961987,Zabaykalsk,CN,49.64,117.33,17.76,49,8,12.66
1547960400,Udon Thani,TH,17.4,102.79,86.0,45,0,5.82
1547959800,Tasiilaq,GL,65.61,-37.64,23.0,73,20,5.82
1547961991,Komsomolskiy,RU,67.55,63.78,11.91,92,80,10.65
1547961993,Cidreira,BR,-30.17,-50.22,69.78,95,76,10.2
1547961996,Baruun-Urt,MN,46.68,113.28,20.55,38,0,15.57
1547961998,Verkhnyaya Inta,RU,65.99,60.32,-0.42,65,0,2.82
1547960400,La Ronge,CA,55.1,-105.3,-29.21,73,20,5.82
1547960400,Oranjestad,AW,12.52,-70.03,78.8,78,20,21.92
1547960400,Ancud,CL,-41.87,-73.83,51.8,100,92,3.36
1547960100,Hamilton,BM,32.3,-64.78,66.2,68,40,6.93
1547960400,Aguimes,ES,27.91,-15.45,62.6,67,75,14.99
1547962008,Chivay,PE,-15.64,-71.6,35.76,100,92,2.37
1547960400,Namtsy,RU,62.72,129.66,-41.81,57,36,4.47
1547960160,Ashland,US,38.48,-82.64,41.0,96,90,6.93
1547962013,Whitianga,NZ,-36.83,175.7,73.83,89,0,15.23
1547962014,Jiuquan,CN,39.73,98.49,16.23,81,8,2.59
1547961827,Jalu,LY,29.03,21.55,46.83,42,76,2.15
1547962017,Kalmunai,LK,7.42,81.82,81.21,77,56,12.55
1547961300,Nome,US,30.04,-94.42,39.02,64,1,16.11
1547960400,Margate,AU,-43.03,147.26,80.6,28,0,11.41
1547961000,Alice Springs,AU,-23.7,133.88,107.6,9,8,18.34
1547962021,Ibra,OM,22.69,58.55,64.2,77,0,3.27
1547962024,Bandarbeyla,SO,9.49,50.81,75.54,100,92,16.13
1547960400,Kondopoga,RU,62.21,34.27,3.2,84,75,4.47
1547962026,Ekibastuz,KZ,51.72,75.32,30.9,94,20,5.61
1547962029,Hukuntsi,BW,-23.98,21.76,69.42,13,0,9.08
1547962030,Swan River,CA,52.11,-101.27,-30.75,0,36,2.48
1547962031,Kirovskiy,RU,45.09,133.51,5.61,49,48,8.97
1547960400,Bambous Virieux,MU,-20.34,57.76,84.2,74,20,14.99
1547962035,Pierre,US,44.37,-100.35,2.64,82,92,14.23
1547962036,Meghraj,IN,23.5,73.5,80.22,43,0,6.73
1547962037,Bubaque,GW,11.28,-15.83,73.56,100,8,18.81
1547962039,Port Blair,IN,11.67,92.75,82.83,99,44,15.46
1547960400,Clyde River,CA,70.47,-68.59,-22.01,74,90,11.65
1547962042,Port Victoria,AU,-34.5,137.49,79.23,55,20,10.42
1547962043,Mogzon,RU,51.74,111.97,21.81,43,36,13.67
1547962046,Qandala,SO,11.47,49.87,69.06,91,12,1.14
1547960400,Flinders,AU,-34.58,150.85,77.0,65,75,11.41
1547960400,Mount Gambier,AU,-37.83,140.78,77.0,53,0,16.11
1547962049,Atbasar,KZ,51.81,68.36,28.56,96,88,8.97
1547962052,Cochrane,CL,-47.25,-72.57,45.57,78,8,2.15
1547960400,Kenora,CA,49.76,-94.48,-20.21,68,5,6.93
1547962054,Kisiwani,TZ,-4.13,37.95,74.1,76,20,3.6
1547962055,Tilichiki,RU,60.47,166.1,27.21,86,92,11.32
1547960400,Port Hardy,CA,50.7,-127.42,35.6,100,40,2.24
1547959980,Lander,US,42.83,-108.73,24.98,71,1,3.36
1547962061,Magdalena,BO,-13.26,-64.05,74.64,86,88,7.52
1547960400,Bintulu,MY,3.17,113.03,82.4,78,75,2.24
1547960400,Lasa,CY,34.92,32.53,51.8,76,40,10.29
1547962049,San Andres,PH,13.32,122.68,77.34,100,92,24.07
1547961360,Wilmington,US,39.75,-75.55,44.42,100,90,10.29
1547958600,Lagoa,PT,37.14,-8.45,55.4,87,40,13.87
1547962069,Carinhanha,BR,-14.3,-43.77,73.2,72,0,11.32
1547962070,Batagay-Alyta,RU,67.8,130.41,-41.19,0,56,2.71
1547960400,Colares,PT,38.8,-9.45,53.6,76,75,8.05
1547962073,Saldanha,PT,41.42,-6.55,32.97,93,0,5.95
1547960400,Natal,BR,-5.81,-35.21,80.6,78,40,6.93
1547960160,Kenai,US,60.55,-151.26,1.94,87,1,3.36
1547960400,General Roca,AR,-39.03,-67.58,78.8,47,0,16.11
1547962079,Ostrovnoy,RU,68.05,39.51,-12.57,77,8,2.71
1547962080,Ponta do Sol,BR,-20.63,-46.0,65.1,94,32,3.94
1547962081,Husavik,CA,50.56,-96.99,-39.66,0,0,3.27
1547961000,Carballo,ES,43.21,-8.69,50.0,87,40,9.17
1547962084,Westport,IE,53.8,-9.52,43.86,99,68,17.92
1547960400,Maldonado,UY,-34.91,-54.96,62.6,77,20,3.36
1547962087,Arlit,NE,18.74,7.39,60.96,43,24,5.61
1547962088,Mukhen,RU,48.19,136.14,8.67,63,56,4.16
1547962090,Juru,BR,-7.54,-37.82,66.18,97,36,3.94
1547960400,Behbahan,IR,30.59,50.24,39.2,93,0,2.24
1547962092,Ulety,RU,51.36,112.48,21.81,43,36,13.67
1547960400,Brokopondo,SR,5.06,-54.98,75.2,94,0,3.36
1547962094,Sibolga,ID,1.74,98.78,76.08,90,88,2.71
1547960400,Campbell River,CA,50.02,-125.24,37.4,85,20,3.36
1547962097,Camopi,GF,3.17,-52.33,72.12,100,80,2.04
1547962098,Dikson,RU,73.51,80.55,6.6,100,76,5.95
1547962102,Kendari,ID,-3.99,122.52,86.34,74,36,7.85
1547962104,Vuktyl,RU,63.86,57.31,17.13,77,68,6.73
1547962105,Kaitangata,NZ,-46.28,169.85,56.55,85,64,25.64
1547960400,Hasaki,JP,35.73,140.83,53.6,54,40,9.17
1547962108,Provideniya,RU,64.42,-173.23,13.35,100,80,7.18
1547962110,Bilma,NE,18.69,12.92,45.12,53,8,2.82
1547960400,Castro,CL,-42.48,-73.76,51.8,100,0,3.36
1547962068,Vestmannaeyjar,IS,63.44,-20.27,36.03,100,48,22.17
1547962040,Vao,EE,59.1,26.19,23.25,83,80,17.25
1547962099,Dingle,PH,11.0,122.67,75.18,98,92,11.32
1547962115,Sungairaya,ID,0.7,108.9,81.48,94,92,3.71
1547962116,Teguldet,RU,57.31,88.17,20.64,76,44,8.63
1547960400,Ulladulla,AU,-35.36,150.48,77.0,65,75,11.41
1547962120,Miquelon,PM,47.1,-56.38,18.03,100,44,12.77
1547962121,Evensk,RU,61.92,159.24,17.31,100,64,19.48
1547960400,Codrington,AU,-28.95,153.24,93.2,55,75,10.29
1547960100,Plateros,MX,23.23,-102.84,42.8,60,40,5.82
1547962115,Cockburn Town,TC,21.46,-71.14,78.24,100,0,19.82
1547962126,Tupancireta,BR,-29.08,-53.84,65.19,93,32,13.56
1547956800,Nouadhibou,MR,20.93,-17.03,59.0,72,0,11.41
1547962128,Dunda,IN,30.62,78.32,47.91,73,56,1.92
1547960400,El Alto,BO,-16.5,-68.19,44.6,87,75,2.24
1547960400,Saint-Pierre,FR,48.95,4.24,35.6,81,90,5.82
1547961360,Bay City,US,43.59,-83.89,10.76,77,1,14.99
1547960400,Walvis Bay,NA,-22.95,14.51,60.8,82,75,9.17
1547962040,Upernavik,GL,72.79,-56.15,-8.52,100,56,9.64
1547960400,Serchhip,IN,23.31,92.85,71.6,46,0,1.59
1547962139,Wanaka,NZ,-44.7,169.14,54.57,66,56,10.65
1547962140,Gao,ML,16.28,-0.04,52.14,46,0,10.31
1547962141,Lorengau,PG,-2.02,147.27,80.04,100,92,9.98
1547962142,Namibe,AO,-15.19,12.15,74.73,100,80,3.49
1547962143,Bedesa,ET,8.9,40.78,65.19,39,0,3.38
1547962145,Kikwit,CD,-5.04,18.82,74.28,88,8,3.6
1547960400,Byron Bay,AU,-28.65,153.62,93.2,69,64,6.93
1547962147,Lagunas,PE,-5.23,-75.68,71.94,95,0,3.49
1547960400,Adrar,DZ,27.87,-0.29,41.0,35,0,8.05
1547962149,Ponta Pora,BR,-22.54,-55.73,71.04,91,80,3.6
1547959980,Havre,US,48.55,-109.68,23.0,80,1,13.87
1547962152,Opuwo,NA,-18.06,13.84,66.63,54,48,3.83
1547960400,Shellbrook,CA,53.22,-106.39,-14.81,75,90,11.41
1547962156,Shubarkuduk,KZ,49.15,56.49,16.86,89,92,4.72
1547962157,Sinnamary,GF,5.38,-52.96,78.78,96,100,12.77
1547962159,Benguela,AO,-12.58,13.4,75.63,100,32,3.38
1547960400,Port Hedland,AU,-20.31,118.58,96.8,56,0,17.22
1547959800,Sola,FI,62.78,29.36,-9.41,83,75,2.24
1547962163,Biltine,TD,14.53,20.93,55.47,49,0,4.61
1547962164,Lavrentiya,RU,65.58,-170.99,0.3,97,56,9.75
1547962088,Santa Maria,BR,-29.69,-53.81,64.38,97,88,10.54
1547962167,Linhares,BR,-19.38,-40.06,74.01,89,12,7.18
1547962168,Polna,PL,49.67,21.0,12.36,71,64,2.93
1547962094,Nanortalik,GL,60.14,-45.24,24.06,100,44,21.72
1547962170,Ayorou,NE,14.73,0.92,57.54,26,0,10.09
1547961915,Lata,IN,30.78,78.62,47.91,73,56,1.92
1547960400,Hamada,JP,34.9,132.08,51.8,50,40,18.34
1547960400,Zanjan,IR,36.67,48.48,5.0,65,0,4.7
1547962176,Conde,BR,-11.81,-37.61,76.53,96,20,5.73
1547961995,Namatanai,PG,-3.66,152.44,81.03,100,88,12.33
1547962178,Zyryanka,RU,65.73,150.89,-40.92,0,32,2.37
1547960400,Trat,TH,12.25,102.51,87.8,70,20,5.82
1547962050,Maniitsoq,GL,65.42,-52.9,16.14,100,76,7.18
1547960400,Anadyr,RU,64.73,177.51,-9.41,76,40,13.42
1547962061,Klyuchi,RU,52.25,79.17,27.3,94,88,9.98
1547959980,Homer,US,59.64,-151.54,21.02,76,1,15.12
1547960400,Lima,PE,-12.06,-77.04,69.8,88,40,6.93
1547960160,Morgan City,US,29.7,-91.21,41.0,70,90,18.34
